global_claim_id,ticker,company,sample_role,construct,condition,claim_text,text_source_ids,xbrl_source_ids,coder_id,claim_segmentation_agreement,claim_kind_code,evidence_use_type_code,text_supported_code,graph_valid_code,integrated_code,audit_boundary_note,confidence_code,coder_notes
EXT-C182,CROX,"Crocs, Inc.",bounded_extension,inventory,hybrid,"As of December 31, 2025, Crocs, Inc.'s net inventory was $368,687,000.",,F-CROX-0014,Coder 2,1,factual,xbrl_only,NA,1,0,,high,
EXT-C183,CROX,"Crocs, Inc.",bounded_extension,inventory,hybrid,"Crocs, Inc. recorded an inventory write-down of $871,000 for the fiscal year 2025.",,F-CROX-0020,Coder 2,1,factual,xbrl_only,NA,1,0,,high,
EXT-C184,CROX,"Crocs, Inc.",bounded_extension,inventory,hybrid,The valuation of inventory is subject to significant estimation uncertainty regarding the assessment of the lower of cost or net realizable value (NRV).,T-CROX-REVENUE_INVENTORY-019; T-CROX-REVENUE_INVENTORY-022,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C185,CROX,"Crocs, Inc.",bounded_extension,inventory,hybrid,Inventory valuation is sensitive to fluctuations in consumer and retailer preferences and general market conditions.,T-CROX-REVENUE_INVENTORY-022,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C186,CROX,"Crocs, Inc.",bounded_extension,inventory,hybrid,The use of outlet stores and off-price channels to sell discontinued or end-of-life inventory introduces specific valuation considerations for NRV.,T-CROX-REVENUE_INVENTORY-022,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C094,CAT,Caterpillar Inc.,bounded_extension,inventory,llm_only,The provided context is insufficient to identify any audit-relevant risk cues or assertion-mapping considerations for inventory valuation for Caterpillar Inc. for the specified period.,,,Coder 2,1,boundary,none,NA,NA,0,Boundary claim that supplied context is insufficient; no filing-specific evidence is used.,high,Coded as a source-boundary/insufficient-context assertion.
EXT-C187,CROX,"Crocs, Inc.",bounded_extension,inventory,llm_only,"The provided context is insufficient to identify any audit-relevant risk cues or assertion-mapping considerations for inventory valuation for Crocs, Inc. for the specified period.",,,Coder 2,1,boundary,none,NA,NA,0,Boundary claim that supplied context is insufficient; no filing-specific evidence is used.,high,Coded as a source-boundary/insufficient-context assertion.
EXT-C063,HD,"Home Depot, Inc.",bounded_extension,inventory,llm_only,"The provided context is insufficient to identify any audit-relevant risk cues or assertion-mapping considerations for inventory valuation for Home Depot, Inc. for the specified period.",,,Coder 2,1,boundary,none,NA,NA,0,Boundary claim that supplied context is insufficient; no filing-specific evidence is used.,high,Coded as a source-boundary/insufficient-context assertion.
EXT-C155,MSFT,Microsoft Corp.,bounded_extension,inventory,llm_only,The provided context is insufficient to identify any audit-relevant risk cues or assertion-mapping considerations for inventory valuation for Microsoft Corp. for the specified period.,,,Coder 2,1,boundary,none,NA,NA,0,Boundary claim that supplied context is insufficient; no filing-specific evidence is used.,high,Coded as a source-boundary/insufficient-context assertion.
MAIN-C031,NKE,"Nike, Inc.",main_deep_case,inventory,llm_only,"The provided context is insufficient to identify any audit-relevant risk cues or assertion-mapping considerations for Nike, Inc.'s inventory valuation for the fiscal year ended 2025-05-31.",,,Coder 2,1,boundary,none,NA,NA,0,Boundary claim that supplied context is insufficient; no filing-specific evidence is used.,high,Coded as a source-boundary/insufficient-context assertion.
EXT-C126,PFE,Pfizer Inc.,bounded_extension,inventory,llm_only,The provided context is insufficient to identify any audit-relevant risk cues or assertion-mapping considerations for inventory valuation for Pfizer Inc. for the specified period.,,,Coder 2,1,boundary,none,NA,NA,0,Boundary claim that supplied context is insufficient; no filing-specific evidence is used.,high,Coded as a source-boundary/insufficient-context assertion.
MAIN-C062,SBUX,Starbucks Corporation,main_deep_case,inventory,llm_only,The provided context is insufficient to identify any audit-relevant risk cues or assertion-mapping considerations for inventory valuation for Starbucks Corporation.,,,Coder 2,1,boundary,none,NA,NA,0,Boundary claim that supplied context is insufficient; no filing-specific evidence is used.,high,Coded as a source-boundary/insufficient-context assertion.
MAIN-C094,TGT,Target Corporation,main_deep_case,inventory,llm_only,The provided context is insufficient to identify any audit-relevant risk cues or assertion-mapping considerations for inventory valuation for Target Corporation.,,,Coder 2,1,boundary,none,NA,NA,0,Boundary claim that supplied context is insufficient; no filing-specific evidence is used.,high,Coded as a source-boundary/insufficient-context assertion.
EXT-C031,WMT,Walmart Inc.,bounded_extension,inventory,llm_only,The provided context is insufficient to identify any audit-relevant risk cues or assertion-mapping considerations for inventory valuation for Walmart Inc. for the specified period.,,,Coder 2,1,boundary,none,NA,NA,0,Boundary claim that supplied context is insufficient; no filing-specific evidence is used.,high,Coded as a source-boundary/insufficient-context assertion.
EXT-C079,CAT,Caterpillar Inc.,bounded_extension,revenue,llm_only,The provided context is insufficient to identify any audit-relevant risk cues or assertion-mapping considerations for revenue recognition for Caterpillar Inc. for the specified period.,,,Coder 2,1,boundary,none,NA,NA,0,Boundary claim that supplied context is insufficient; no filing-specific evidence is used.,high,Coded as a source-boundary/insufficient-context assertion.
EXT-C171,CROX,"Crocs, Inc.",bounded_extension,revenue,llm_only,"The provided context is insufficient to identify any audit-relevant risk cues or assertion-mapping considerations for revenue recognition for Crocs, Inc. for the fiscal year ended 2025-12-31.",,,Coder 2,1,boundary,none,NA,NA,0,Boundary claim that supplied context is insufficient; no filing-specific evidence is used.,high,Coded as a source-boundary/insufficient-context assertion.
EXT-C047,HD,"Home Depot, Inc.",bounded_extension,revenue,llm_only,"The provided context is insufficient to identify any audit-relevant risk cues or assertion-mapping considerations for revenue recognition for Home Depot, Inc. for the specified period.",,,Coder 2,1,boundary,none,NA,NA,0,Boundary claim that supplied context is insufficient; no filing-specific evidence is used.,high,Coded as a source-boundary/insufficient-context assertion.
EXT-C084,CAT,Caterpillar Inc.,bounded_extension,inventory,xbrl,"As of 2025-12-31, the Inventory, Net balance is 18,135,000,000 USD.",,F-CAT-0018,Coder 2,1,factual,xbrl_only,NA,1,0,,high,
EXT-C085,CAT,Caterpillar Inc.,bounded_extension,inventory,xbrl,"As of 2025-12-31, the Inventory LIFO Reserve is 4,305,000,000 USD.",,F-CAT-0048,Coder 2,1,factual,xbrl_only,NA,1,0,,high,
EXT-C086,CAT,Caterpillar Inc.,bounded_extension,inventory,xbrl,The valuation assertion for inventory is impacted by the calculation and maintenance of the LIFO reserve.,,F-CAT-0048; F-CAT-0049,Coder 2,1,risk_assertion,xbrl_only,NA,0.5,0,"XBRL facts support the numeric premise, but the audit-risk/assertion inference requires audit judgment beyond management-reported data.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C087,CAT,Caterpillar Inc.,bounded_extension,inventory,xbrl,"The reported ""InventoryMethodologyDifference"" represents a risk cue for the valuation assertion due to the complexity of reconciling different accounting methods.",,F-CAT-1036,Coder 2,1,risk_assertion,xbrl_only,NA,0.5,0,"XBRL facts support the numeric premise, but the audit-risk/assertion inference requires audit judgment beyond management-reported data.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C088,CAT,Caterpillar Inc.,bounded_extension,inventory,xbrl,The increase in total net inventory from 2024 to 2025 suggests a need to assess the valuation assertion for potential obsolescence or impairment.,,F-CAT-0018; F-CAT-0019,Coder 2,1,risk_assertion,xbrl_only,NA,0.5,0,"XBRL facts support the numeric premise, but the audit-risk/assertion inference requires audit judgment beyond management-reported data.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C177,CROX,"Crocs, Inc.",bounded_extension,inventory,xbrl,"As of 2025-12-31, the net inventory balance for Crocs, Inc. was 368,687,000 USD.",,F-CROX-0014,Coder 2,1,factual,xbrl_only,NA,1,0,,high,
EXT-C178,CROX,"Crocs, Inc.",bounded_extension,inventory,xbrl,"For the period 2025-01-01 to 2025-12-31, Crocs, Inc. recorded an inventory write-down of 871,000 USD.",,F-CROX-0020,Coder 2,1,factual,xbrl_only,NA,1,0,,high,
EXT-C179,CROX,"Crocs, Inc.",bounded_extension,inventory,xbrl,"The company has recorded inventory write-downs for three consecutive years (2023: 2,078,000 USD; 2024: 812,000 USD; 2025: 871,000 USD).",,F-CROX-0020; F-CROX-0021; F-CROX-0022,Coder 2,1,factual,xbrl_only,NA,1,0,,high,
EXT-C180,CROX,"Crocs, Inc.",bounded_extension,inventory,xbrl,"InventoryNet increased from 356,254,000 USD at 2024-12-31 to 368,687,000 USD at 2025-12-31, while a write-down of 871,000 USD was recognized in 2025.",,F-CROX-0014; F-CROX-0015; F-CROX-0020,Coder 2,1,factual,xbrl_only,NA,1,0,,high,
EXT-C181,CROX,"Crocs, Inc.",bounded_extension,inventory,xbrl,Cost of Goods and Services Sold is distributed across different business segments (Crocs Brand and HEYDUDE Brand).,,F-CROX-0108; F-CROX-0114,Coder 2,1,factual,xbrl_only,NA,1,0,,high,
EXT-C080,CAT,Caterpillar Inc.,bounded_extension,inventory,text,"Caterpillar Inc. states inventories at the lower of cost or net realizable value, primarily determining cost using the last-in, first-out (LIFO) method.",T-CAT-INVENTORY-016,,Coder 2,1,factual,text_only,1,NA,0,,high,
EXT-C081,CAT,Caterpillar Inc.,bounded_extension,inventory,text,"Inventories valued on the LIFO basis represented approximately 70 percent of total inventories at December 31, 2025, and 65 percent at December 31, 2024.",T-CAT-INVENTORY-016,,Coder 2,1,factual,text_only,1,NA,0,,high,
EXT-C082,CAT,Caterpillar Inc.,bounded_extension,inventory,text,The identification of inventory write-downs and LIFO inventory decrement benefits arising from liquidations at closed facilities presents a risk to the inventory valuation assertion.,T-CAT-INVENTORY-008; T-CAT-INVENTORY-023,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C083,CAT,Caterpillar Inc.,bounded_extension,inventory,text,"The inventory management decisions of independent dealers and OEMs, influenced by market conditions and used equipment inventory levels, may create valuation risks for Caterpillar's finished products.",T-CAT-REVENUE_INVENTORY-003,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C172,CROX,"Crocs, Inc.",bounded_extension,inventory,text,Inventories consist of finished goods and are valued at the lower of cost or net realizable value (NRV) using the first-in-first-out (FIFO) costing method.,Text Chunk 1,,Coder 2,1,factual,text_only,1,NA,0,,high,
EXT-C173,CROX,"Crocs, Inc.",bounded_extension,inventory,text,"The valuation of inventory is subject to risk due to the reliance on management estimates regarding historical sales trends, market trends, economic conditions, and future demand forecasts.",Text Chunk 1; Text Chunk 3,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C174,CROX,"Crocs, Inc.",bounded_extension,inventory,text,Competitive pricing pressures and the potential need to mark down prices to maintain customers may impact inventory valuation.,Text Chunk 5,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C175,CROX,"Crocs, Inc.",bounded_extension,inventory,text,"Supply chain constraints, raw material shortages, and increased freight and material costs may influence the cost basis of inventory.",Text Chunk 2; Text Chunk 4; Text Chunk 5,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C176,CROX,"Crocs, Inc.",bounded_extension,inventory,text,"Consolidated gross margin decreased from 58.8% in 2024 to 58.3% in 2025, driven primarily by incremental duties and higher freight and fulfillment costs.",Text Chunk 2,,Coder 2,1,factual,text_only,1,NA,0,,high,
